query_id,query,collection,precision,recall,hit_rate,mrr,latency_sec
rama_email,What is Rama’s email address?,resumes_semantic,0.0,0.0,0.0,0.0,0.04949474334716797
ibrahim_university,Which university does Ibrahim attend?,resumes_semantic,0.6,1.0,1.0,1.0,0.01651167869567871
rama_gpa,What is Rama’s GPA?,resumes_semantic,0.2,1.0,1.0,1.0,0.011013269424438477
toqa_email,What is Toqa’s email address?,resumes_semantic,0.0,0.0,0.0,0.0,0.012291908264160156
tala_email,What is Tala’s email address?,resumes_semantic,0.0,0.0,0.0,0.0,0.011527299880981445
ibrahim_intern,What internship did Ibrahim complete?,resumes_semantic,0.0,0.0,0.0,0.0,0.011472702026367188
rama_backend_training,When did Rama complete the Backend Java Training?,resumes_semantic,0.4,1.0,1.0,1.0,0.01351475715637207
toqa_internship,Where did Toqa complete her AI internship?,resumes_semantic,0.2,1.0,1.0,1.0,0.012042522430419922
rama_projects,What machine learning classification projects has Rama worked on?,resumes_semantic,0.6,1.0,1.0,1.0,0.012518167495727539
ibrahim_cap_advisor,What technologies were used in Ibrahim’s Cap Advisor project?,resumes_semantic,0.4,1.0,1.0,0.5,0.011050701141357422
tala_stock_prediction,What ML models did Tala use in the Tesla Stock Prediction project?,resumes_semantic,0.0,0.0,0.0,0.0,0.013522624969482422
toqa_bigdata,Who has experience with Apache Spark?,resumes_semantic,0.2,1.0,1.0,0.3333333333333333,0.011014223098754883
tala_yolo,Who implemented traffic sign detection using YOLO?,resumes_semantic,0.2,1.0,1.0,0.2,0.010011911392211914
ibrahim_react,Does Ibrahim have experience with React?,resumes_semantic,0.8,0.8,1.0,1.0,0.01102447509765625
rama_email,What is Rama’s email address?,resumes_window,0.2,1.0,1.0,0.25,0.03304910659790039
ibrahim_university,Which university does Ibrahim attend?,resumes_window,0.8,0.8,1.0,1.0,0.01153254508972168
rama_gpa,What is Rama’s GPA?,resumes_window,0.2,1.0,1.0,1.0,0.01151418685913086
toqa_email,What is Toqa’s email address?,resumes_window,0.2,1.0,1.0,0.3333333333333333,0.01251077651977539
tala_email,What is Tala’s email address?,resumes_window,0.2,1.0,1.0,1.0,0.011023759841918945
ibrahim_intern,What internship did Ibrahim complete?,resumes_window,0.2,1.0,1.0,0.25,0.013051033020019531
rama_backend_training,When did Rama complete the Backend Java Training?,resumes_window,0.4,1.0,1.0,0.5,0.013024568557739258
toqa_internship,Where did Toqa complete her AI internship?,resumes_window,0.2,1.0,1.0,1.0,0.011521339416503906
rama_projects,What machine learning classification projects has Rama worked on?,resumes_window,0.6,0.6,1.0,1.0,0.01302957534790039
ibrahim_cap_advisor,What technologies were used in Ibrahim’s Cap Advisor project?,resumes_window,0.4,0.6666666666666666,1.0,0.5,0.014508485794067383
tala_stock_prediction,What ML models did Tala use in the Tesla Stock Prediction project?,resumes_window,0.2,1.0,1.0,1.0,0.015527725219726562
toqa_bigdata,Who has experience with Apache Spark?,resumes_window,0.2,0.5,1.0,1.0,0.014029264450073242
tala_yolo,Who implemented traffic sign detection using YOLO?,resumes_window,0.4,1.0,1.0,1.0,0.014037609100341797
ibrahim_react,Does Ibrahim have experience with React?,resumes_window,0.8,0.4444444444444444,1.0,0.5,0.01201319694519043
